passport_number,business_category,spending_category,spending_amount,tax_included,date_time,country,stay_duration_days,income_method,income_amount,currency
P52877180,Hotel,Food,5131.044089928657,Yes,2024-05-01,Australia,7,Freelance,2525.764152484441,AUD
P93037301,Shop,Shopping,9839.306763032968,No,2025-02-09,Japan,30,Freelance,3205.586904515984,EUR
DE5609290,Restaurant,Shopping,7814.194656938235,No,2025-01-05,Germany,23,Freelance,3424.6901818104398,INR
USA9301967,Tourist Attraction,Food,1361.4111828954224,No,2024-11-08,USA,79,Freelance,2256.822766690391,USD
UK0921142,Shop,Entertainment,6990.771988358914,No,2024-02-17,UK,152,Savings,3303.1684993717645,GBP
P76134865,Shop,Food,3979.9483492566474,No,2024-10-26,Australia,46,Savings,2150.42366853678,JPY
IN7628233,Hotel,Food,8890.84347198309,Yes,2024-09-28,India,180,Remote Job,1040.1125309233792,JPY
IN9492516,Shop,Shopping,3448.092113191021,No,2024-06-11,India,59,Remote Job,4052.4146573628313,JPY
P80970408,Hotel,Accommodation,7502.207338656352,Yes,2024-09-08,Australia,34,Pension,1149.6276565719677,AUD
IN4596494,Shop,Entertainment,5009.028714154436,Yes,2024-07-27,India,81,Pension,2245.9918053774527,USD
P31556788,Shop,Shopping,3667.019832695966,No,2024-07-22,Japan,19,Remote Job,2482.6603586797096,USD
P16299959,Restaurant,Entertainment,7552.719739835285,Yes,2024-09-04,Japan,104,Freelance,3801.1864554840527,CNY
USA0334949,Tourist Attraction,Food,1708.43592962717,No,2024-08-17,USA,110,Freelance,1419.9497685409915,USD
UK6281337,Shop,Entertainment,2253.645940096031,No,2024-07-23,UK,142,Savings,4921.604151444844,CNY
USA2198709,Tourist Attraction,Shopping,5495.507429151837,No,2025-02-20,USA,65,Savings,1799.0998741979138,USD
IN2616234,Tourist Attraction,Entertainment,7336.261114762091,Yes,2024-08-22,India,96,Pension,4373.709836816847,USD
DE3624183,Tourist Attraction,Entertainment,4347.687531371223,No,2024-06-05,Germany,141,Pension,1925.524379994741,EUR
P71788889,Shop,Entertainment,952.5011143408829,No,2024-04-02,Australia,130,Pension,1037.770487624432,JPY
CN309464220,Tourist Attraction,Food,7901.93558416194,Yes,2024-03-01,China,45,Pension,4614.2234067474365,INR
USA1055151,Restaurant,Entertainment,9643.088785144331,No,2024-05-19,USA,88,Freelance,2796.2682209970176,CNY
P96392626,Hotel,Entertainment,4074.1886600912576,No,2024-09-09,Japan,63,Freelance,4692.926013849012,USD
USA9907685,Shop,Entertainment,9266.805977647738,No,2024-09-10,USA,133,Pension,4539.03128693188,CNY
CN343252414,Shop,Shopping,5866.19257873152,No,2024-08-28,China,93,Pension,3211.049514867389,JPY
P33239200,Shop,Accommodation,5440.09489745581,Yes,2024-10-01,Australia,128,Pension,2340.6647155095093,USD
P51026725,Tourist Attraction,Food,6745.056236753378,No,2024-01-13,Australia,15,Freelance,3509.570476931162,AUD
USA1413008,Restaurant,Food,4146.72136817808,Yes,2024-11-03,USA,29,Pension,4437.148525619423,USD
USA2198709,Tourist Attraction,Shopping,2338.5670560084573,Yes,2024-10-15,USA,65,Savings,1799.0998741979138,USD
DE5609290,Hotel,Food,8352.988381342791,Yes,2024-10-20,Germany,23,Freelance,3424.6901818104398,INR
P88928539,Hotel,Accommodation,2896.168487628205,No,2024-05-15,Japan,110,Savings,4356.1562673896215,GBP
P85126485,Hotel,Accommodation,2518.392075009592,Yes,2025-04-29,Japan,56,Remote Job,1435.6611519255678,GBP
P77766335,Shop,Shopping,6969.1513178633095,No,2025-04-03,Australia,110,Savings,3205.4086524084278,INR
UK2759757,Restaurant,Food,1741.9691594956655,No,2025-04-25,UK,165,Pension,3408.567579086702,CNY
